stri_relation_id,input_form_slp1,semantic_relation,expected_nominative_forms_slp1,expected_variant_count,source_rule_refs,source_assertion_ids,source_assertion_count,eligibility_status,generated_nominative_forms_slp1,generated_variant_count,missing_expected_forms_slp1,expected_forms_with_stri_suffix_slp1,applied_stri_suffixes,applied_rule_refs,engine_error,verification_status,generated_word_meaning_id,count_status
c4be09c841b2d07d6e9a,BastraPala,feminine counterpart of the demonstrated nominal base,BastraPalA,1,4.1.4,5bee5b6067f689388932,1,source_demonstrated_candidate,BastraPalA,1,,BastraPalA,wAp,4.1.4,,verified_stri_derivation,393ce7caa59f7109ae7b,admitted_source_demonstrated_stri_word_meaning
b3896ca6569f2263d658,Bava,feminine counterpart of the demonstrated nominal base,BavAnI,1,4.1.49,295131a61a8a8d09ed9d,1,source_demonstrated_candidate,BavAnI,1,,BavAnI,NIz,4.1.49,,verified_stri_derivation,9258fb06c8c1b889eb70,admitted_source_demonstrated_stri_word_meaning
1722c039a904ac104ac0,Catrin,feminine counterpart of the demonstrated nominal base,CatriRI,1,4.1.5,8a641cdd1fbd1a53e6e9,1,source_demonstrated_candidate,CatriRI,1,,CatriRI,NIp,4.1.5,,verified_stri_derivation,adeb942508ea6170158f,admitted_source_demonstrated_stri_word_meaning
27e0a24e6ff40b423669,DIvan,feminine counterpart of the demonstrated nominal base,DIvarI,1,4.1.7,ab02499b803c8733b961,1,source_demonstrated_candidate,DIvarI,1,,DIvarI,NIp,4.1.7,,verified_stri_derivation,8792659db93b0c391028,admitted_source_demonstrated_stri_word_meaning
ea4cb3f923c63695fcd8,SaRaPala,feminine counterpart of the demonstrated nominal base,SaRaPalA,1,4.1.4,0c2833c62762500aba84,1,source_demonstrated_candidate,SaRaPalA,1,,SaRaPalA,wAp,4.1.4,,verified_stri_derivation,3df1a4fda1f55b7e0585,admitted_source_demonstrated_stri_word_meaning
050e6c4a87ed9448bba8,Sarva,feminine counterpart of the demonstrated nominal base,SarvARI,1,4.1.49,3c2c8f62656e99a2de59,1,source_demonstrated_candidate,SarvARI,1,,SarvARI,NIz,4.1.49,,verified_stri_derivation,cc706b2e8741b223d27a,admitted_source_demonstrated_stri_word_meaning
17c43b441c5a66f1f9f5,Sarvan,feminine counterpart of the demonstrated nominal base,SarvarI,1,4.1.7,241ea8172598642d88f8,1,source_demonstrated_candidate,SarvarI,1,,SarvarI,NIp,4.1.7,,verified_stri_derivation,e0d6295fff98f2a9e98a,admitted_source_demonstrated_stri_word_meaning
d95975e2afd61c68c7b2,Satapuzpa,feminine counterpart of the demonstrated nominal base,SatapuzpA,1,4.1.4,0fb1fc13a0bfb521690d,1,source_demonstrated_candidate,SatapuzpA,1,,SatapuzpA,wAp,4.1.4,,verified_stri_derivation,1eb3950d9f1d6906e2bc,admitted_source_demonstrated_stri_word_meaning
8cb4e987c1fea56aaad0,SvaSura,feminine counterpart of the demonstrated nominal base,SvaSrUH,1,4.1.68,a5f823d300e726c9825a,1,source_demonstrated_candidate,SvaSrUH,1,,SvaSrUH,UN,4.1.68.1,,verified_stri_derivation,d7b73d8907fde208ea3c,admitted_source_demonstrated_stri_word_meaning
812e5fe6506088615c36,aSiSu,feminine counterpart of the demonstrated nominal base,aSiSvI,1,4.1.62,d14df839c11fedc59218,1,source_demonstrated_candidate,aSiSvI,1,,aSiSvI,NIz,4.1.62,,verified_stri_derivation,2e9dc09cb1d9bc050056,admitted_source_demonstrated_stri_word_meaning
