derived_word_meaning_id,operation_id,krt_source_variant,operation_display,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,semantic_branch_id,semantic_relation,rule_refs,output_forms_slp1,output_variant_count,admission_basis,count_status
c51829638ab073fc4960,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0001"", ""meaning-4f8785226893""]",01.0001,BU,sattAyAm,सत्तायाम् (sattāyām),prior_action,the same agent completes the base action before performing another action,3.4.21,BUtvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
e2da4c6968aa33309f9e,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0002"", ""meaning-7e172f9d8575""]",01.0002,eDa~\,vfdDO,वृद्धौ (vṛddhau),prior_action,the same agent completes the base action before performing another action,3.4.21,eDitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
ccf2656664342b9cf582,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0003"", ""meaning-eaa4c9581c6b""]",01.0003,sparDa~\,saNGarze,सङ्घर्षे (saṅgharṣe),prior_action,the same agent completes the base action before performing another action,3.4.21,sparDitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
7840a4d1cb8a7253b698,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0004"", ""meaning-412d054d7980""]",01.0004,gADf~\,lipsAyAm,लिप्सायाम् (lipsāyām),prior_action,the same agent completes the base action before performing another action,3.4.21,gADitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
85f1b74756a74b34e386,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0004"", ""meaning-83e37f3a87c4""]",01.0004,gADf~\,pratizWAyAm,प्रतिष्ठायाम् (pratiṣṭhāyām),prior_action,the same agent completes the base action before performing another action,3.4.21,gADitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
e9c65a7c463d7183e1e3,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0004"", ""meaning-b687ba9bbadc""]",01.0004,gADf~\,granTe,ग्रन्थे (granthe),prior_action,the same agent completes the base action before performing another action,3.4.21,gADitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
a5d35734b0e798050eb6,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0005"", ""meaning-476077c1bded""]",01.0005,bADf~\,loqane,लोडने (loḍane),prior_action,the same agent completes the base action before performing another action,3.4.21,bADitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
f12bea34c22fc39d7c76,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0005"", ""meaning-7cf338b886ec""]",01.0005,bADf~\,rowane,रोटने (roṭane),prior_action,the same agent completes the base action before performing another action,3.4.21,bADitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
2cb8e8a0ff89734cc866,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0006"", ""meaning-8db8a7c441d3""]",01.0006,nADf~\,yAcYAyAm,याच्ञायाम् (yācñāyām),prior_action,the same agent completes the base action before performing another action,3.4.21,nADitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
731420bc7cad0b4d3fcc,prior_action_ktva,ktvA,"क्त्वा (ktvā), prior action by the same agent","[""01.0006"", ""meaning-ade77b0908ab""]",01.0006,nADf~\,ESvarye,ऐश्वर्ये (aiśvarye),prior_action,the same agent completes the base action before performing another action,3.4.21,nADitvA,1,source_classified_laukika_avyaya_operation_plus_pinned_engine_output,admitted_research_ledger
