operation_id,display_label,sanadi,relation,rule_refs,source_code,gana,aupadeshika_slp1,source_artha_slp1,engine_status,output_count,output_forms_slp1,eligibility_status,count_status
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0001,BvAdi,BU,sattAyAm,generated,1,BAvi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0002,BvAdi,eDa~\,vfdDO,generated,1,eDi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0003,BvAdi,sparDa~\,saNGarze,generated,1,sparDi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0004,BvAdi,gADf~\,pratizWAlipsayorgranTe ca,generated,1,gADi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0005,BvAdi,bADf~\,"loqane, rowane",generated,1,bADi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0006,BvAdi,nADf~\,yAcYopatApESvaryASIzzu,generated,1,nADi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0007,BvAdi,nATf~\,yAcYopatApESvaryASIzzu,generated,1,nATi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0008,BvAdi,daDa~\,DAraRe,generated,1,dADi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0009,BvAdi,skudi~\,ApravaRe,generated,1,skundi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0010,BvAdi,Svidi~\,SvEtye,generated,1,Svindi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0011,BvAdi,vadi~\,aBivAdanastutyoH,generated,1,vandi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0012,BvAdi,Badi~\,kalyARe suKe ca,generated,1,Bandi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0013,BvAdi,madi~\,stutimodamadasvapnakAntigatizu,generated,1,mandi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0014,BvAdi,spadi~\,kiYciccalane,generated,1,spandi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0015,BvAdi,klidi~\,paridevane,generated,1,klindi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0016,BvAdi,muda~\,harze,generated,1,modi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0017,BvAdi,dada~\,dAne,generated,1,dAdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0018,BvAdi,zvada~\,AsvAdane,generated,1,svAdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0019,BvAdi,svarda~\,AsvAdane,generated,1,svardi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0020,BvAdi,urda~\,mAne krIqAyAM AsvAdane ca,generated,1,Urdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0021,BvAdi,kurda~\,krIqAyAm eva,generated,1,kUrdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0022,BvAdi,Kurda~\,krIqAyAm eva,generated,1,KUrdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0023,BvAdi,gurda~\,krIqAyAm eva,generated,1,gUrdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0024,BvAdi,guda~\,krIqAyAm eva,generated,1,godi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0025,BvAdi,zUda~\,kzaraRe,generated,1,sUdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0026,BvAdi,hrAda~\,avyakte Sabde,generated,1,hrAdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0027,BvAdi,hlAdI~\,avyakte Sabde suKe ca,generated,1,hlAdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0028,BvAdi,svAda~\,AsvAdane,generated,1,svAdi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0029,BvAdi,parda~\,kutsite Sabde,generated,1,pardi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0030,BvAdi,yatI~\,prayatne,generated,1,yAti,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0031,BvAdi,yutf~\,BAsane,generated,1,yoti,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0032,BvAdi,jutf~\,BAsane,generated,1,joti,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0033,BvAdi,viTf~\,yAcane,generated,1,veTi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0034,BvAdi,veTf~\,yAcane,generated,1,veTi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0035,BvAdi,SraTi~\,SETilye,generated,1,SranTi,candidate_semantic_review_pending,not_admitted
causative,"णिजन्त (ṇijanta), causative",Ric,cause the base action or state,3.1.26,01.0036,BvAdi,graTi~\,kOwilye,generated,1,granTi,candidate_semantic_review_pending,not_admitted
