derived_word_meaning_id,operation_id,krt_source_variant,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,semantic_branch_id,semantic_relation,construction_condition,rule_refs,output_forms_slp1,output_variant_count,admission_basis,count_status
5ffd99811db6dd839d20,vedic_sak_purpose_kamul,kamul,"[""01.0001"", ""meaning-4f8785226893""]",01.0001,BU,sattAyAm,सत्तायाम् (sattāyām),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,Bu/vam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
0515239a01a7dbf1d449,vedic_sak_purpose_kamul,kamul,"[""01.0002"", ""meaning-7e172f9d8575""]",01.0002,eDa~\,vfdDO,वृद्धौ (vṛddhau),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,e/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
ed4bcb937530faa89fff,vedic_sak_purpose_kamul,kamul,"[""01.0003"", ""meaning-eaa4c9581c6b""]",01.0003,sparDa~\,saNGarze,सङ्घर्षे (saṅgharṣe),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,spa/rDam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
707421b63d5031303863,vedic_sak_purpose_kamul,kamul,"[""01.0004"", ""meaning-412d054d7980""]",01.0004,gADf~\,lipsAyAm,लिप्सायाम् (lipsāyām),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,gA/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
6cb7311f66cbbf41e829,vedic_sak_purpose_kamul,kamul,"[""01.0004"", ""meaning-83e37f3a87c4""]",01.0004,gADf~\,pratizWAyAm,प्रतिष्ठायाम् (pratiṣṭhāyām),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,gA/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
5f1ba23b6974ea808766,vedic_sak_purpose_kamul,kamul,"[""01.0004"", ""meaning-b687ba9bbadc""]",01.0004,gADf~\,granTe,ग्रन्थे (granthe),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,gA/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
dcbd33f39e69f204edc3,vedic_sak_purpose_kamul,kamul,"[""01.0005"", ""meaning-476077c1bded""]",01.0005,bADf~\,loqane,लोडने (loḍane),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,bA/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
b2a2e6eb2b76907b4b0c,vedic_sak_purpose_kamul,kamul,"[""01.0005"", ""meaning-7cf338b886ec""]",01.0005,bADf~\,rowane,रोटने (roṭane),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,bA/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
884181f34149b0e2e876,vedic_sak_purpose_kamul,kamul,"[""01.0006"", ""meaning-8db8a7c441d3""]",01.0006,nADf~\,yAcYAyAm,याच्ञायाम् (yācñāyām),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,nA/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
58b264392704861073cb,vedic_sak_purpose_kamul,kamul,"[""01.0006"", ""meaning-ade77b0908ab""]",01.0006,nADf~\,ESvarye,ऐश्वर्ये (aiśvarye),purpose_with_sak,"the base action as the purpose complement of sak, to be capable",Vedic domain; sak is the accompanying verb,3.4.12,nA/Dam,1,source_condition_plus_chandasi_engine_output,admitted_vaidika_research_ledger
