derived_word_meaning_id,operation_id,operation_display,base_count_key,base_source_codes,base_citations_slp1,base_meaning_slp1,base_meaning_display,semantic_branch_id,semantic_relation,rule_refs,output_forms_slp1,output_variant_count,admission_basis,count_status
b1003430eb7d860d6037,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0001"", ""meaning-ea619e8dba65""]",10.0001,cura~,steye,स्तेये (steye),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,cori,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
e702f141a5f7f7e51703,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0002"", ""meaning-845705c28bfa""]",10.0002,citi~,smftyAm,स्मृत्याम् (smṛtyām),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,cinti,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
6ee24c9108b29a1f7ee2,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0003"", ""meaning-faacb3ea90c2""]",10.0003,yatri~,saNkoce,सङ्कोचे (saṅkoce),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,yantri,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
ce87c533f5c5cefe0813,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0004"", ""meaning-dca85de550b9""]",10.0004,sPuqi~,parihAse,परिहासे (parihāse),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,sPuRqi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
445f3a0b79acbe00d4f2,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0005"", ""meaning-dca85de550b9""]",10.0005,sPuwi~,parihAse,परिहासे (parihāse),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,sPuRwi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
4daf4115e3f50ae19af9,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0006"", ""meaning-5042ee4bdbe7""]",10.0006;10.0219,lakza~,Alocane;darSane,आलोचने (ālocane);दर्शने (darśane),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,lakzi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
aa78eba5eb97fb3c428b,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0006"", ""meaning-ea5abf5b24b3""]",10.0006,lakza~,aNkane,अङ्कने (aṅkane),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,lakzi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
20e820adfef5cf5a4a9e,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0007"", ""meaning-a010c56017b0""]",10.0007,kudri~,anftaBAzaRe,अनृतभाषणे (anṛtabhāṣaṇe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,kundri,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
ba333a3a63812eb26fb0,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0008"", ""meaning-a010c56017b0""]",10.0008,kudf~,anftaBAzaRe,अनृतभाषणे (anṛtabhāṣaṇe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,kodi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
f4dd3c9aa08f6e2f4bfb,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0009"", ""meaning-dca85de550b9""]",10.0009,spuqi~,parihAse,परिहासे (parihāse),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,spuRqi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
cfa9281dfe1bca214de1,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0010"", ""meaning-e70f6bac7ede""]",10.0010,laqa~,upasevAyAm,उपसेवायाम् (upasevāyām),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,lAqi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
668315829e2cf9b855fe,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0011"", ""meaning-8c6231d20ac4""]",10.0011,midi~,snehane,स्नेहने (snehane),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,mindi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
db4e36b9e1a89bcf7f1c,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0012"", ""meaning-8c6231d20ac4""]",10.0012,mida~,snehane,स्नेहने (snehane),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,medi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
aa9cf9f996e04e5cda07,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0013"", ""meaning-8c6c87e51d61""]",10.0013,o~laqi~,utkzepaRe,उत्क्षेपणे (utkṣepaṇe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,laRqi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
13bff1002b9f3cf5c603,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0014"", ""meaning-8c6c87e51d61""]",10.0014,olaqi~,utkzepaRe,उत्क्षेपणे (utkṣepaṇe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,olaRqi,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
41a6662c38c73e6117eb,curadi_true_causative,"द्विणिजन्त (dviṇijanta), true causative of a curādigaṇa base","[""10.0015"", ""meaning-456b48da5b7f""]",10.0015,jala~,apavAraRe,अपवारणे (apavāraṇe),causation,"cause an independent agent to perform the base action, or bring about the base state",3.1.25;3.1.26,jAli,1,class_forming_nic_plus_causative_nic_plus_pinned_engine_output,admitted_research_ledger
